sno,sna,sarea,total,ar,latitude,longitude,snaen,sareaen,aren
500101001,YouBike2.0_捷運科技大樓站,大安區,28,復興南路二段235號前,25.02605,121.5436,YouBike2.0_MRT Technology Bldg. Sta.,Daan Dist.,No.235， Sec. 2， Fuxing S. Rd.
500101002,YouBike2.0_復興南路二段273號前,大安區,21,復興南路二段273號西側,25.02565,121.54357,YouBike2.0_No.273， Sec. 2， Fuxing S. Rd.,Daan Dist.,No.273， Sec. 2， Fuxing S. Rd. (West)
500101003,YouBike2.0_國北教大實小東側門,大安區,16,和平東路二段96巷7號,25.02429,121.54124,YouBike2.0_NTUE Experiment Elementary School (East),Daan Dist.,No. 7， Ln. 96， Sec. 2， Heping E. Rd
500101004,YouBike2.0_和平公園東側,大安區,11,和平東路二段118巷33號,25.02351,121.54282,YouBike2.0_Heping Park (East),Daan Dist.,No. 33， Ln. 118， Sec. 2， Heping E. Rd
500101005,YouBike2.0_辛亥復興路口西北側,大安區,16,復興南路二段368號,25.02153,121.54299,YouBike2.0_Xinhai Fuxing Rd. Intersection (Northwest),Daan Dist.,No. 368， Sec. 2， Fuxing S. Rd.
500101006,YouBike2.0_復興南路二段280號前,大安區,27,復興南路二段280號,25.02429,121.54328,YouBike2.0_No. 280， Sec. 2， Fuxing S. Rd.,Daan Dist.,No. 280， Sec. 2， Fuxing S. Rd.
500101007,YouBike2.0_復興南路二段340巷口,大安區,11,復興南路二段342號,25.02253,121.54326,YouBike2.0_Ln. 340， Sec. 2， Fuxing S. Rd.,Daan Dist.,No. 342， Sec. 2， Fuxing S. Rd.
500101008,YouBike2.0_新生南路三段52號前,大安區,17,新生南路三段52號,25.02112,121.53407,YouBike2.0_No. 52， Sec. 3， Xinsheng S. Rd.,Daan Dist.,No. 52， Sec. 3， Xinsheng S. Rd.
500101009,YouBike2.0_新生南路三段66號前,大安區,16,新生南路三段66號東側,25.01976,121.53384,YouBike2.0_No. 66， Sec. 3， Xinsheng S. Rd.,Daan Dist.,No. 66， Sec. 3， Xinsheng S. Rd. (East)
500101010,YouBike2.0_新生南路三段82號前,大安區,20,新生南路三段82號,25.01894,121.53361,YouBike2.0_No. 82， Sec. 3， Xinsheng S. Rd.,Daan Dist.,No. 82， Sec. 3， Xinsheng S. Rd.
500101012,YouBike2.0_辛亥路一段30號前,大安區,8,辛亥路一段30號,25.01986,121.52982,YouBike2.0_No. 30， Sec. 1， Xinhai Rd.,Daan Dist.,No. 30， Sec. 1， Xinhai Rd.
500101013,YouBike2.0_和平復興路口西北側,大安區,9,復興南路二段236號,25.02543,121.54332,YouBike2.0_Heping Fuxing Rd. Intersection (Northwest),Daan Dist.,No. 236， Sec. 2， Fuxing S. Rd.
500101014,YouBike2.0_羅斯福路三段311號前,大安區,11,羅斯福路三段311號,25.01717,121.53202,YouBike2.0_No. 311， Sec. 3， Roosevelt Rd.,Daan Dist.,No. 311， Sec. 3， Roosevelt Rd.
500101015,YouBike2.0_大安運動中心停車場,大安區,19,敦南街76巷28號,25.02089,121.54697,YouBike2.0_Taipei Da-an Sports Center Parking lot,Daan Dist.,No. 28， Ln. 76， Dunnan St.
500101016,YouBike2.0_羅斯福路三段245號前,大安區,8,羅斯福路三段245號,25.01927,121.52989,YouBike2.0_No. 245， Sec. 3， Roosevelt Rd.,Daan Dist.,No. 245， Sec. 3， Roosevelt Rd.
500101018,YouBike2.0_溫州公園,大安區,5,羅斯福路三段283巷11號,25.01895,121.53156,YouBike2.0_Wenzhou Park,Daan Dist.,No. 11， Ln. 283， Sec. 3， Roosevelt Rd.
500101019,YouBike2.0_和平臥龍街口,大安區,24,臥龍街1號,25.024461,121.546705,YouBike2.0_Heping Wolong St. Intersection,Daan Dist.,No. 1， Wolong St.
500101020,YouBike2.0_溫州停車場,大安區,5,新生南路三段54巷/溫州街口,25.02093,121.5331,YouBike2.0_Wenzhou Parking Lot,Daan Dist.,Ln. 54， Sec. 3， Xinsheng S. Rd. & Wenzhou St. Intersection
500101021,YouBike2.0_銘傳國小側門,大安區,7,羅斯福路四段21號旁天橋下,25.01385,121.53549,YouBike2.0_Taipei Municipal MingChuan Elementary School(Side Gate),Daan Dist.,No. 21， Sec. 4， Roosevelt Rd.
500101022,YouBike2.0_捷運公館站(2號出口),大安區,99,捷運公館站(2號出口)外側,25.01491,121.53438,YouBike2.0_MRT Gongguan Sta. (Exit 2),Daan Dist.,MRT Gongguan Sta. (Exit 2)
500101023,YouBike2.0_第二學生活動中心,大安區,25,羅斯福路四段107號(西南側),25.01244,121.53661,YouBike2.0_2nd Student Activity Center,Daan Dist.,No. 107， Sec. 4， Roosevelt Rd.(Southwest)
500101024,YouBike2.0_臺灣科技大學正門,大安區,50,基隆路四段43號(臺灣科技大學正門旁小側門靠田徑場),25.01451,121.54142,YouBike2.0_NTUST(Main Gate),Daan Dist.,No. 43， Sec. 4， Keelung Rd.
500101025,YouBike2.0_臺灣科技大學側門,大安區,99,基隆路四段73巷與基隆路口,25.01295,121.53973,YouBike2.0_NTUST(Side Gate),Daan Dist.,Ln. 73， Sec. 4， Keelung Rd. Intersection
500101026,YouBike2.0_公館公園,大安區,30,羅斯福路四段113巷基隆路四段41巷口,25.01137,121.54062,YouBike2.0_Gongguan Park,Daan Dist.,Ln. 113， Sec. 4， Roosevelt Rd. & Ln. 41， Sec. 4， Keelung Rd. Intersection
500101027,YouBike2.0_臺灣科技大學後門,大安區,39,基隆路四段41巷68弄臺科帆船大樓旁,25.01182,121.54165,YouBike2.0_NTUST(Back Gate),Daan Dist.,Aly. 68， Ln. 41， Sec. 4， Keelung Rd.
500101028,YouBike2.0_臺大醫學院附設癌醫中心,大安區,20,基隆路三段155巷57號西側,25.01426,121.54382,YouBike2.0_NTU Cancer Center,Daan Dist.,No. 57， Ln. 155， Sec. 3， Keelung Rd.(West)
500101029,YouBike2.0_臺大環研大樓,大安區,15,芳蘭路/基隆路三段155巷口,25.01234,121.54503,YouBike2.0_NTU Environment Research Building,Daan Dist.,Fanglan Rd & Ln. 155， Sec. 3， Keelung Rd. Intersection
500101030,YouBike2.0_臺大永齡生醫工程館,大安區,34,芳蘭路51號西北側,25.0136,121.54656,YouBike2.0_NTU Yonglin Biomedical Engineering Hall,Daan Dist.,No. 51， Fanglan Rd.(Northwest)
